test_subject,val_subject,iou_background,dice_background,sens_background,spec_background,iou_abdomen,dice_abdomen,sens_abdomen,spec_abdomen,iou_cold,dice_cold,sens_cold,spec_cold,mIoU_real,mDice_real
S05,S06,0.9480692504818258,0.9733424520173859,0.9529965447396618,0.9907471044928048,0.7009393051198956,0.8241790909411525,0.7265983484583951,0.9808454410011204,0.08732793761446106,0.1606285180275122,0.6981203362613868,0.8851564814283462,0.39413362136717833,0.49240380448433235
S06,S07,0.9878736351026912,0.9938998311144248,0.9915103809114839,0.9841529604294891,0.84447439820894,0.9156802599471797,0.9451401118823103,0.975342586838664,0.1197689874868167,0.21391731477690487,0.16938934266821148,0.9927841895733729,0.48212169284787837,0.5647987873620423
S07,S08,0.9840187167268045,0.9919449936946356,0.9855254413463321,0.9938543297649295,0.8298945873504779,0.9070408679136981,0.9351436025446646,0.9720608115237502,0.1577390419237815,0.2724949858504747,0.26655557944526626,0.9866927406276819,0.49381681463712973,0.5897679268820863
S08,S09,0.9727034894339529,0.9861628923392438,0.9733741384786794,0.9971161348826367,0.7517933502919601,0.8583128257298883,0.8169347029962686,0.979931769519792,0.10819604042641313,0.19526516334561403,0.9742364429667619,0.9606175253800999,0.42999469535918666,0.5267889945377512
S09,S10,0.9813237268976965,0.9905738406860215,0.9815311620873036,0.9988721247236642,0.8696838034305306,0.930300408908521,0.963641654046827,0.980360004472104,0.03639307934884203,0.07023026315788895,0.10832064941651234,0.9920426760140445,0.45303844138968635,0.500265336033205
S10,S11,0.972236556211676,0.9859228632078231,0.9730537516447036,0.9933140832369219,0.6425517895311971,0.7823823804235588,0.749580509388146,0.9797241554013565,0.057833272945175235,0.10934288876007511,0.6680618158400939,0.9665559109082846,0.35019253123818617,0.44586263459181696
S11,S05,0.9841438553707498,0.9920085710588322,0.9960318947189014,0.9358095739692798,0.7930271964200379,0.884567950785574,0.9192774099606329,0.9753377953690213,0.12877530700298231,0.22816818582769027,0.1465133842409941,0.9965773775393387,0.46090125171151014,0.5563680683066321
