test_subject,val_subject,iou_background,dice_background,sens_background,spec_background,iou_abdomen,dice_abdomen,sens_abdomen,spec_abdomen,iou_cold,dice_cold,sens_cold,spec_cold,mIoU_real,mDice_real
S05,S06,0.866172708353648,0.9282878315349411,0.9947765995472394,0.7356624665902985,0.545821122350777,0.7061892407327572,0.5567800713387768,0.9894941625197252,0.00933741957452893,0.01850207748854685,0.04921129687351948,0.92988229966205,0.27757927096265295,0.36234565911065203
S06,S07,0.9846747699727727,0.9922782159278231,0.9956129674555471,0.9521822056347591,0.8017994812414216,0.8899985704169366,0.8666347249559667,0.983273780187283,0.21104115533738088,0.3485284614932636,0.3846103980292762,0.9856756396678751,0.5064203182894013,0.6192635159551001
S07,S08,0.8428600259841813,0.9147303800613409,0.8490965949016911,0.970301877361998,0.5276570901431785,0.6908056703925934,0.9217891575430024,0.835445913519726,0.08696102819236846,0.1600076284924141,0.13529348527197724,0.9892787079702531,0.3073090591677735,0.4254066494425038
S08,S09,0.945128606592545,0.9717903519482046,0.9495578322182492,0.9803981526392324,0.6298758865248199,0.7729127005711156,0.7379302510507741,0.9602682111862394,0.06259114804137592,0.1178085252389825,0.7668813629751159,0.9446375943415987,0.34623351728309787,0.445360612905049
S09,S10,0.9020198374521525,0.9484862562321661,0.9026212704482879,0.9964423591283716,0.7002999454189437,0.8237369498313946,0.9248431062645013,0.941711157301492,0.01796443162701238,0.03529481201676139,0.22754946727543696,0.9530281953389742,0.359132188522978,0.429515880924078
S10,S11,0.8946259738684579,0.9443826762723047,0.8953492499916966,0.9935691318327884,0.21682001415515167,0.3563715449004866,0.396299108523858,0.8992369600268372,0.0375419343833508,0.07236706901039783,0.8502897617511751,0.9313810930123856,0.12718097426925123,0.2143693069554422
S11,S05,0.9385585706480574,0.9683056110440849,0.9468046659986669,0.9533119664981666,0.4721280256585845,0.6414225086807501,0.6430277796737376,0.9439249701297362,0.2698629306162016,0.4250268656716367,0.7467483427036693,0.9560907667383222,0.3709954781373931,0.5332246871761934
