fold,test_subject,test_iou_cold,test_dice_cold,test_sens_cold,test_spec_cold,best_val_iou_cold
1,S05,0.7875251935927879,0.8811346507625137,0.8751620888835464,0.998169851009585,0.7208078509457602
2,S06,0.6181247821540176,0.7640013785972444,0.7175109240976923,0.9971956338262717,0.7556726094002476
3,S07,0.3270435222941732,0.49289042416451456,0.8260518343991365,0.9706238003465616,0.7858552289956604
4,S08,0.23397241843254396,0.3792182303875931,0.9057291666664308,0.9859121994602539,0.7981670704728959
5,S09,0.3216503380708815,0.48674044685733064,0.7430666241629764,0.9947529347180806,0.7373248145094046
6,S10,0.4196541543651582,0.5912061794413856,0.795045944865843,0.9971438739987919,0.7733013255400507
7,S11,0.4931913298769288,0.6605869187809689,0.827317022056854,0.983148388273852,0.7799899949974207
