test_subject,val_subject,iou_background,dice_background,sens_background,spec_background,iou_abdomen,dice_abdomen,sens_abdomen,spec_abdomen,iou_cold,dice_cold,sens_cold,spec_cold,mIoU_real,mDice_real
S05,S06,0.7303755351956631,0.8441815320893051,0.9300631478613108,0.5132408468032731,0.16462374906412489,0.28270718194852923,0.18655135192761207,0.9303035303797653,0.10718376494023771,0.19361513117205642,0.813167091716179,0.8918487591757085,0.1359037570021813,0.23816115656029282
S06,S07,0.9450160229380995,0.9717308359347895,0.9654452810682027,0.9069427928935511,0.08688068417153241,0.1598716132079514,0.09642727649435347,0.9772711444918237,0.102033636867955,0.18517336214517124,0.9776999870348128,0.8505262539883968,0.0944571605197437,0.1725224876765613
S07,S08,0.954814061888852,0.976884789713715,0.974016699556651,0.9192800640577697,0.2192871822443749,0.35969734683953136,0.24590773599896182,0.9732562368804227,0.12207037649165893,0.21758060643813165,0.9012040421414265,0.8768782998560808,0.17067877936801693,0.28863897663883153
S08,S09,0.9021583893994933,0.9485628477913477,0.9307720037712816,0.8673369324532315,0.08619281404519508,0.15870628663836606,0.10617592487409538,0.9463038899893119,0.030666012526361874,0.059507177210963894,0.9999999999997922,0.844477815476366,0.05842941328577848,0.10910673192466497
S09,S10,0.9515692634254168,0.9751836957661565,0.9660253104008897,0.9189412151405918,0.04757317827828151,0.09082549890494425,0.05388944364720862,0.9758638556519824,0.026686486372783244,0.05198565818678469,0.9654997463214192,0.8583624928250279,0.03712983232553238,0.07140557854586446
S10,S11,0.9536285129019655,0.9762639177347218,0.9707909584463669,0.8568448666915565,0.0579021618942307,0.10946600542067854,0.07117747968165516,0.9720914735104049,0.018326254522573335,0.035992894106742473,0.5251126851253943,0.9123491990276886,0.038114208208402015,0.07272944976371051
S11,S05,0.8421384102212096,0.9143052504074144,0.8452765284699154,0.9801982105810731,0.18443904532703764,0.3114369558394824,0.365003526494207,0.8483413046108866,0.21779079449851918,0.3576817881731557,0.9547285390618043,0.9159231697883448,0.2011149199127784,0.334559372006319
