fold,test_subject,test_iou_background,test_dice_background,test_sens_background,test_spec_background,test_iou_abdomen,test_dice_abdomen,test_sens_abdomen,test_spec_abdomen,test_iou_cold,test_dice_cold,test_sens_cold,test_spec_cold,test_mIoU_real,test_mDice_real
1,S05,0.9588728892572236,0.9790047067533967,0.9925414035505755,0.9374867421831873,0.8441516270166768,0.9154904777350427,0.8776180132638564,0.9792556195771146,0.2014232145900715,0.3353076786664183,0.44649097950312205,0.9800224264973859,0.5227874208033741,0.6253990782007305
2,S06,0.9909940661327173,0.9954766646367884,0.9925661131821562,0.9931714093975477,0.8555927414218334,0.9221772884994605,0.9567362477986057,0.9755474960893122,0.12237895539458052,0.21807065217390378,0.16647218980940187,0.9937246949849485,0.48898584840820697,0.5701239703366822
3,S07,0.9792959533864181,0.9895396913341035,0.9815557704452651,0.9907381434465685,0.8239955438231052,0.9035060931081068,0.9585786813471595,0.9640180691708105,0.1683127401958689,0.28812959818901074,0.21893141259942922,0.994198681923942,0.49615414200948704,0.5958178456485588
4,S08,0.9591927957511842,0.9791714198126328,0.960201118276099,0.9956030283219754,0.7837454059472065,0.8787637555607564,0.9136171110497996,0.9616212945248973,0.17135305108689916,0.292572851418111,0.7812175358402698,0.9824887270541489,0.47754922851705284,0.5856683034894337
5,S09,0.9808912125157297,0.9903534392178952,0.9819575518703763,0.9941994985788708,0.8675050461657916,0.9290524252631948,0.9748639372557254,0.9775024253957861,0.024112231477418658,0.04708904109588369,0.041856925418558635,0.9970370688123139,0.44580863882160515,0.4880707331795392
6,S10,0.9870204659214232,0.9934678407690392,0.9872408695263811,0.99822376870735,0.8534197897813057,0.920913647827193,0.963572278935469,0.9842884740683928,0.07047226717668523,0.13166575041229636,0.15421764327103857,0.9962334198017407,0.46194602847899546,0.5262896991197447
7,S11,0.9845969071185793,0.9922386793881564,0.9898736563981001,0.9715208776245499,0.7677882831027776,0.8686428012241091,0.9256326833966516,0.9681524846066806,0.16281434284551743,0.2800349752258735,0.20156079550221526,0.9940867759375973,0.4653013129741475,0.5743388882249914
