test_subject,val_subject,iou_cold,dice_cold,sens_cold,spec_cold
S05,S06,0.11781586907623379,0.2107965584235213,0.1791696154753268,0.9914406467497703
S06,S07,0.13348664038545408,0.23553279876339883,0.3953940966590662,0.9658520613522547
S07,S08,0.0578057412504887,0.10929368029739268,0.07884679852496956,0.9929632140315754
S08,S09,0.07583489112312243,0.1409786794402146,0.7785269709541549,0.9543430925558655
S09,S10,0.029903628117909593,0.05807073070041859,0.06610275689220987,0.9950666462386994
S10,S11,0.02289441974487793,0.04476399382565421,0.22307692307683277,0.9724514708621068
S11,S05,0.26976526053364924,0.4249057190622366,0.5728888189966675,0.9720650806992839
