test_subject,iou_class_0,iou_class_1,iou_class_2,sens_cold,spec_cold,box_iou_mean,iou_background,iou_abdomen,iou_cold
S05,0.9389329223214405,0.5905932750944832,0.12226800078477536,0.8829696797959762,0.8978431168798942,0.14766818843781948,0.9389329223214405,0.5905932750944832,0.12226800078477536
S06,0.9851294678402758,0.8529019458393113,0.0,0.0,0.9998012857713838,0.1385002491826361,0.9851294678402758,0.8529019458393113,0.0
S07,0.9890655071277021,0.8691317306383043,0.10165740168828495,0.10615996559879595,0.9991456146390222,0.29164500581100583,0.9890655071277021,0.8691317306383043,0.10165740168828495
S08,0.9698108881366353,0.7403513585012884,0.11288196242760959,0.9962601288177851,0.9614966669290461,0.12476964777504856,0.9698108881366353,0.7403513585012884,0.11288196242760959
S09,0.9748505885904014,0.8379595839795639,0.03115423901940756,0.06189751395230847,0.9960269554222355,0.05866405717097223,0.9748505885904014,0.8379595839795639,0.03115423901940756
S10,0.9856843975040401,0.6845502951252734,0.025810119386014782,0.2192530585962653,0.976244318494919,0.07802128853897254,0.9856843975040401,0.6845502951252734,0.025810119386014782
S11,0.9848466247331008,0.6872522170057381,0.24196540914034675,0.4760426281782328,0.9759624105770814,0.4067094574371974,0.9848466247331008,0.6872522170057381,0.24196540914034675
