test_subject,val_subject,iou_background,dice_background,sens_background,spec_background,iou_abdomen,dice_abdomen,sens_abdomen,spec_abdomen,iou_cold,dice_cold,sens_cold,spec_cold,mIoU_real,mDice_real
S05,S06,0.8499240901487898,0.9188745577992123,0.9965185273442131,0.6929235077001371,0.5780233185745541,0.7325916059297387,0.5851201343265656,0.9935756338948045,0.0,0.0,0.0,0.9530036152258221,0.28901165928727707,0.36629580296486935
S06,S07,0.9810481513210664,0.9904334235054835,0.9866077899913285,0.9756054487443578,0.8157961384001206,0.8985547674078768,0.8759582513208273,0.9847456446739652,0.2062069153429006,0.34190968849532766,0.49060028523269217,0.9759792885578981,0.5110015268715106,0.6202322279516022
S07,S08,0.8979096562391478,0.9462090603600427,0.9036236589336009,0.9744584925002373,0.5894399731991139,0.7416951670250626,0.8327933329201109,0.9090471230965353,0.2560659507707849,0.40772692009308914,0.7062459686088634,0.9660869150467205,0.4227529619849494,0.5747110435590759
S08,S09,0.9577422985744726,0.978415084837112,0.959892306683942,0.9906103038866225,0.6831180767647336,0.8117292377701911,0.7719338104434054,0.969887631440143,0.08584795761151243,0.158121506809016,0.9493039684186683,0.9505135311129206,0.384483017188123,0.48492537228960353
S09,S10,0.8938099522191204,0.9439278225059232,0.8952361510893463,0.9914861529141011,0.7191046490859644,0.8366036930541805,0.9851339465800738,0.9327477119531427,0.00314106948349664,0.006262468119491774,0.03145611364788649,0.963706390984354,0.36112285928473054,0.42143308058683615
S10,S11,0.8829983663495452,0.9378641873825527,0.8838669486760473,0.992175473433947,0.3336931084570674,0.5004046378302318,0.6202086672853508,0.8954828079231997,0.028441095536224936,0.05530913857812317,0.49581455247891315,0.947913839095285,0.18106710199664616,0.2778568882041775
S11,S05,0.9196708714475782,0.9581547390507377,0.9214827635804554,0.9895306789643659,0.3615451924780286,0.5310807081181228,0.5107652871627989,0.9360629525330089,0.2147937839220661,0.35363003460321624,0.8982965511453848,0.9209314787438767,0.28816948820004734,0.4423553713606695
