test_subject,val_subject,iou_background,dice_background,sens_background,spec_background,iou_abdomen,dice_abdomen,sens_abdomen,spec_abdomen,iou_cold,dice_cold,sens_cold,spec_cold,mIoU_real,mDice_real
S05,S06,0.869298406683747,0.9300798669442372,0.9927630167997117,0.7471384328199875,0.6092124556426047,0.7571560281011233,0.6238012108935976,0.9874696969344781,0.0,0.0,0.0,0.9483197962693832,0.30460622782130237,0.37857801405056163
S06,S07,0.9662599677430448,0.9828405028783231,0.9978940055740462,0.8590720180839867,0.7223242296748418,0.8387784567267101,0.7692232984564334,0.9865697387875787,0.20873545273913538,0.34537822526197365,0.38136911707504334,0.9855954765415583,0.4655298412069886,0.5920783409943419
S07,S08,0.8902774771490511,0.9419542769898342,0.8937210836032503,0.984475169962203,0.539493537493711,0.700871454610981,0.7615696262445794,0.9093152558868169,0.15416125354614424,0.2671398872081106,0.6250806278219402,0.9410743688539198,0.3468273955199276,0.4840056709095458
S08,S09,0.9568837429908235,0.9779668786336386,0.9586772276029654,0.9921603154853488,0.6651293202643203,0.7988920886441885,0.7660808274235474,0.964847396003642,0.08327058596389453,0.15373921722392256,0.896114689382735,0.9519722927296006,0.37419995311410736,0.47631565293405553
S09,S10,0.9167289350714556,0.9565556384082865,0.9173069559513977,0.9966357091757424,0.7800774131029617,0.8764533579954381,0.9369316941878166,0.9634465505281761,0.023371447726171862,0.04567539533783332,0.3183663115169157,0.9491817979405525,0.4017244304145668,0.4610643766666357
S10,S11,0.8737016563210926,0.9325942082332963,0.8747321807898466,0.9906178552234772,0.4385487627048532,0.6097099717082447,0.7555518059187945,0.9120102058165384,0.03942482291547319,0.07585892129243338,0.7759175788793381,0.9407888694544725,0.2389867928101632,0.342784446500339
S11,S05,0.9296010238624041,0.96351630452772,0.9323560730866239,0.9842510581721658,0.3663527324942966,0.5362491306699616,0.5262894455441,0.9323704359002363,0.21288589069288574,0.35104026244590963,0.7811949316102719,0.9336680546201744,0.28961931159359117,0.4436446965579356
