fold,test_subject,test_iou_background,test_dice_background,test_sens_background,test_spec_background,test_iou_abdomen,test_dice_abdomen,test_sens_abdomen,test_spec_abdomen,test_iou_cold,test_dice_cold,test_sens_cold,test_spec_cold,test_mIoU_real,test_mDice_real
1,S05,0.9708884907986857,0.9852292459278011,0.994440605266291,0.9568113359636802,0.7807499620464518,0.876877696124399,0.7995540215793109,0.9873976436243257,0.16209760480353774,0.27897416556665516,0.6986870690468784,0.9456459870372969,0.47142378342499475,0.5779259308455271
2,S06,0.9894576587489959,0.9947008968978847,0.9918905539312337,0.9894156845662021,0.856201758272504,0.9225309204203516,0.9509090438205678,0.9771198062870966,0.20096144782730696,0.3346676085079533,0.27641643977698194,0.9934604953855383,0.5285816030499055,0.6285992644641525
3,S07,0.9852320568287959,0.9925610997865941,0.9890567202944964,0.9844190684081899,0.8138362636977167,0.8973646408839755,0.9152189959936614,0.972556112372465,0.16508941391462717,0.28339355236253866,0.2719307675768506,0.9875160197255173,0.4894628388061719,0.590379096623257
4,S08,0.96905545873704,0.9842845760764871,0.9693205136608152,0.9988559438199826,0.8396763259655281,0.9128522383140805,0.9514451242271252,0.9691709984126315,0.19590759075906297,0.3276299812341137,0.6166632038228512,0.9894329230332009,0.5177919583622955,0.6202411097740971
5,S09,0.9870647906351194,0.9934902931067758,0.9884645256987404,0.9924335681462179,0.8520637715179917,0.9201235774075119,0.9217482161397137,0.9851326544228748,0.07088866189989303,0.13239221671117052,0.2640791476407245,0.9890276560671137,0.4614762167089424,0.5262578970593412
6,S10,0.982524165176966,0.991185058356414,0.9831103558288098,0.9952542743411913,0.768625864649482,0.8691785866218953,0.890594973611923,0.9806838034011008,0.06502525252524796,0.12211025489032983,0.29845460399217694,0.9886216826847511,0.416825558587365,0.49564442075611254
7,S11,0.9902673385205573,0.9951098722814407,0.9952740506703946,0.9731330246061097,0.7720781430807926,0.8713815991641538,0.860206735983127,0.9823175094368871,0.3329745622555238,0.4995962739035292,0.5321809180162569,0.9851345800589226,0.5525263526681582,0.6854889365338415
