test_subject,val_subject,iou_background,dice_background,sens_background,spec_background,iou_abdomen,dice_abdomen,sens_abdomen,spec_abdomen,iou_cold,dice_cold,sens_cold,spec_cold,mIoU_real,mDice_real
S05,S06,0.8424564955177183,0.9144926868745342,0.9936208745383034,0.680543888676761,0.622028010225259,0.7669756703386089,0.6323121138222189,0.9913489541810654,0.0,0.0,0.0,0.9736062149004362,0.3110140051126295,0.38348783516930446
S06,S07,0.9780595867319766,0.988908113074454,0.9950167248778099,0.9253682140880835,0.7209974615499435,0.8378832365047275,0.7815769708898738,0.9826202134270455,0.13775687448223892,0.24215520481021605,0.3341760663814123,0.975166366713559,0.4293771680160912,0.5400192206574718
S07,S08,0.9373770441995233,0.9676764231371644,0.9408920577355836,0.9849494831006769,0.7029184022676569,0.8255456060978962,0.9166389622976356,0.9330176980055129,0.16119669569099798,0.2776389155931485,0.31047086648031014,0.9821367099527589,0.43205754897932747,0.5515922608455224
S08,S09,0.9646233930458404,0.9819931865418168,0.9653614230038153,0.9967998059849376,0.7556348182439063,0.8608109276389706,0.8617841320329063,0.9674646099799906,0.10864622380630158,0.19599800454519717,0.7346769166838282,0.9716497295617469,0.432140521025104,0.5284044660920839
S09,S10,0.9296387468753372,0.9635365670187757,0.9437986860430412,0.918728530088484,0.6925846376437694,0.8183751905108978,0.8167137292764649,0.967418549378893,0.03069035064272275,0.059552998868350165,0.3203957382038761,0.9619946113667875,0.3616374941432461,0.438964094689624
S10,S11,0.9288384627267878,0.9631065334664618,0.929506433959303,0.9942796243498447,0.3010052575211743,0.46272719619086605,0.4636988291759192,0.9342064874943363,0.030691248512571195,0.05955468925706485,0.6394075981968321,0.9371355621909221,0.16584825301687275,0.26114094272396543
S11,S05,0.9246170263872064,0.96083222138261,0.9351892253190004,0.9392394006153075,0.45131553981405115,0.6219399261333282,0.6493982208267873,0.9320085857179601,0.23841294846252084,0.3850298057017386,0.6476881765544747,0.9573449290350551,0.344864244138286,0.5034848659175334
