iou_cold,dice_cold,sens_cold,spec_cold,n_no_box,fold,test_subject
0.2129885605338367,0.3511798337819449,0.8441484839897191,0.9513425655230585,0,1,S05
0.10875659630606563,0.19617758607867442,0.2565149747179919,0.9763371999810306,0,2,S06
0.11820285383725163,0.2114157613381577,0.2965491292195067,0.970894906453097,0,3,S07
0.07549852486403734,0.14039726344316786,0.8826095990025176,0.9474017789327007,0,4,S08
0.020627286275571716,0.04042080111505524,0.15449010654486187,0.9738718698230402,0,5,S09
0.028959870615585314,0.056289601650372986,0.18448164842234885,0.982978445487144,0,6,S10
0.17075218889314037,0.2916965528880607,0.5801376185281287,0.9404267696407227,0,7,S11
