test_subject,val_subject,iou_background,dice_background,sens_background,spec_background,iou_abdomen,dice_abdomen,sens_abdomen,spec_abdomen,iou_cold,dice_cold,sens_cold,spec_cold,mIoU_real,mDice_real
S05,S06,0.874055950823188,0.9327960037044302,0.9900607649231479,0.7637096432056308,0.6612170056713972,0.7960633721109299,0.6887879070552512,0.9781817928258124,0.173990475821744,0.2964086666886424,0.42448285633319877,0.9763606726708454,0.4176037407465706,0.5462360193997862
S06,S07,0.9872124016142133,0.9935650570742216,0.9912368751418797,0.9824516994949141,0.8569343648273415,0.9229560086330996,0.9732337097275396,0.971927432661194,0.03942823108993213,0.07586523034608779,0.04291455983404363,0.9984599647282233,0.4481812979586368,0.4994106194895937
S07,S08,0.977974036894405,0.9888643820926095,0.9813194200010915,0.9862704196906205,0.8092264559704306,0.8945551877157122,0.930303320579927,0.9670382871280111,0.23791519434628133,0.3843804412981936,0.361911416899572,0.9899464557523765,0.523570825158356,0.6394678145069529
S08,S09,0.9681050774693419,0.9837940957036351,0.9698158726637445,0.9926084480904227,0.8162980120406933,0.8988591152214558,0.9226941032007437,0.9698124601435508,0.15050666117997272,0.2616354450753225,0.6079368377310185,0.9850464156070105,0.483402336610333,0.5802472801483891
S09,S10,0.9665358249963486,0.9829831856718332,0.9675351892361329,0.994483078648348,0.8132463694604594,0.8970059261196204,0.9754524954204821,0.9637410843412589,0.05668934240362008,0.10729613733904139,0.10147133434802094,0.9968195216413464,0.43496785593203974,0.5021510317293308
S10,S11,0.9258659804906849,0.9615061378827479,0.9262656926884056,0.9965659528342184,0.42623995000540554,0.5977114159560459,0.6649418337598483,0.9318307596281439,0.032614037439127185,0.0631679141608605,0.4700579523501384,0.957486932793432,0.22942699372226635,0.33043966505845324
S11,S05,0.931577831407966,0.9645770584651204,0.9452551347862493,0.921981078147374,0.605753945369109,0.7544791617869779,0.9160846055255925,0.9206373262561065,0.01918806820562155,0.03765363587782967,0.01921624569942019,0.9999635114876251,0.3124710067873653,0.3960663988324038
