test_subject,val_subject,iou_background,dice_background,sens_background,spec_background,iou_abdomen,dice_abdomen,sens_abdomen,spec_abdomen,iou_cold,dice_cold,sens_cold,spec_cold,mIoU_real,mDice_real
S05,S06,0.934669355714776,0.9662316229425739,0.9431240319313692,0.983895464766022,0.7494869445125618,0.8568077022391067,0.7738169800509022,0.9830140132066723,0.11238267526610937,0.20205757922151146,0.8097666950032294,0.8981083264963003,0.4309348098893356,0.5294326407303092
S06,S07,0.9871454666381934,0.9935311563357495,0.9925196172013234,0.9765649834583222,0.8077943789749299,0.8936794896253322,0.8947412721433694,0.9777358733151892,0.09665249005350196,0.17626821792706024,0.1826785945805664,0.9844980320517006,0.4522234345142159,0.5349738537761962
S07,S08,0.9892621769878075,0.9946021076877599,0.9920352441716095,0.9887490883497423,0.8492348917565715,0.9184716290420963,0.9500363443756321,0.9738508461699825,0.1482286030253901,0.2581865712713175,0.2017308105783594,0.9930373814332926,0.4987317473909808,0.5883291001567069
S08,S09,0.9734527621795793,0.9865478220055794,0.9762895719997365,0.9878107931419844,0.8045384064885457,0.8916833286514508,0.8757079567030673,0.9795120631138193,0.1381059947871368,0.24269443341780686,0.8256804487843702,0.97550466302811,0.47132220063784125,0.5671888810346288
S09,S10,0.9914981589980313,0.9957309320304639,0.9946659000508514,0.9829529708234716,0.8715471621766813,0.931365428336883,0.9116038540640212,0.9916448571390776,0.0762740239737443,0.14173718267794042,0.2889396245559896,0.9887743617084286,0.47391059307521277,0.5365513055074117
S10,S11,0.9863970235127842,0.993151934720905,0.9879004691631432,0.9878760828179136,0.6241709321606173,0.7686025156604538,0.6492777262202662,0.9951036271499355,0.06545869345851653,0.12287420218241461,0.9607211848032966,0.9566501417442389,0.3448148128095669,0.4457383589214342
S11,S05,0.9920438138153675,0.9960060184773779,0.995732141411039,0.9802431708554593,0.8026527116012582,0.890523955541363,0.9096231580703562,0.9793545673599375,0.2992412653735453,0.46064002637340856,0.41038012922713724,0.9907715339562085,0.5509469884874018,0.6755819909573858
