test_subject,val_subject,iou_background,dice_background,sens_background,spec_background,iou_abdomen,dice_abdomen,sens_abdomen,spec_abdomen,iou_cold,dice_cold,sens_cold,spec_cold,mIoU_real,mDice_real
S05,S06,0.9785887333882136,0.9891785158530034,0.9914142737995926,0.9766662424165247,0.8845241912347871,0.9387241568443065,0.9312997783433904,0.9723292046011827,0.10403171226916252,0.18845783343549397,0.2032681590629826,0.9843371232976551,0.4942779517519748,0.5635909951399003
S06,S07,0.9855186534565613,0.9927065170008712,0.9965538273029855,0.9517995690923806,0.8144037933970248,0.897709535618038,0.8918535688386973,0.9803287119377705,0.12774691102080904,0.22655244678112332,0.19972773239983146,0.9901862268458395,0.47107535220891694,0.5621309911995807
S07,S08,0.9830929192892681,0.991474388039875,0.986394601044261,0.9865203266130422,0.8429096584523074,0.9147596080864764,0.9677295753061044,0.9673771771823948,0.13975470306159443,0.24523645778549918,0.16292195226832062,0.9968022761489606,0.4913321807569509,0.5799980329359877
S08,S09,0.970468611402305,0.9850130124241468,0.9708355811456015,0.9984183555114986,0.8218304303848888,0.9022029895628265,0.9185937694400669,0.9727303593062678,0.18671644542772,0.31467743814812155,0.841678786619397,0.982741224685067,0.5042734379063044,0.6084402138554741
S09,S10,0.9899456049997094,0.9949474020922838,0.9918671886418446,0.9896428824624999,0.8628007586369274,0.9263478712218983,0.9205710998102005,0.98782793935729,0.038338212742225125,0.07384532760472114,0.13952308472852878,0.9893738931138649,0.4505694856895763,0.5000965994133098
S10,S11,0.9808539437568907,0.990334443231692,0.9849941082636601,0.9664246741298655,0.7438373272314219,0.8531040316843825,0.8319037843208861,0.9855881638088314,0.0335258973979147,0.06487674374163649,0.21860914359297534,0.9825018827798596,0.3886816123146683,0.4589903877130095
S11,S05,0.9877512442572729,0.993837882995614,0.9978908487007253,0.9454503413769345,0.7857503554769985,0.88002262249822,0.8968443564716789,0.9780974904280041,0.18572986549455747,0.31327517489338297,0.23579760006712108,0.9933017516570987,0.485740110485778,0.5966488986958015
