iou,dice,sensitivity,specificity,tp,fp,fn,tn,gt_pixels,pred_pixels,epoch,split,case_id,class,body_thr,cold_thr,min_cold_cc,loss,val_best_cold_iou_after_sweep,val_best_cold_sens_after_sweep,val_best_cold_spec_after_sweep,val_body_iou_at_selected_thr,val_pred_gt_ratio_at_selected_thr,val_selection_score,fold_id,test_subject,val_subject,pred_gt_ratio
0.0,0.0,0.0,0.9788690221574644,0,1729,97,80094,97,1729,21,test,S07-D-3,cold,0.35,0.4,50,1.3598673343658447,0.2035953870859576,0.5069974066769608,0.9881629781873418,0.9650573667484852,1.020938674957066,0.4743055323910943,2,S07,S06,17.824742266203636
0.0,0.0,0.0,0.9755358063485412,0,1993,454,79473,454,1993,21,test,S07-B-1,cold,0.35,0.4,50,1.3511368036270142,0.2035953870859576,0.5069974066769608,0.9881629781873418,0.9650573667484852,1.020938674957066,0.4743055323910943,2,S07,S06,4.389867841312999
0.0,0.0,0.0,0.9891819543700744,0,881,482,80557,482,881,39,test,S06-D-3,cold,0.35,0.8,0,1.3711572885513306,0.2736487748302745,0.742005397503078,0.979019380523896,0.941638911038836,1.9383205818310127,0.5048607192330354,1,S06,S05,1.8278008298375974
0.0,0.0,0.0,0.9770620888659456,0,1876,134,79910,134,1876,21,test,S07-D-2,cold,0.35,0.4,50,1.3861945867538452,0.2035953870859576,0.5069974066769608,0.9881629781873418,0.9650573667484852,1.020938674957066,0.4743055323910943,2,S07,S06,13.999999998955223
0.0,0.0,0.0,0.9924229399483,0,617,490,80813,490,617,39,test,S06-D-1,cold,0.35,0.8,0,1.3619569540023804,0.2736487748302745,0.742005397503078,0.979019380523896,0.941638911038836,1.9383205818310127,0.5048607192330354,1,S06,S05,1.25918367344369
0.0,0.0,0.0,0.999999999999877,0,0,668,81252,668,0,64,test,S09-D-3,cold,0.75,0.55,50,1.336385726928711,0.2305845093094019,0.6654424939206982,0.984723173895376,0.9781781691555836,3.555578641098875,0.3540486854772978,4,S09,S08,0.0
0.0,0.0,0.0,0.9916584227944903,0,683,41,81196,41,683,19,test,S10-A-1,cold,0.75,0.5,0,1.5274391174316406,0.0460797471873628,0.2175321887313075,0.9923203762454548,0.9475982642905372,2.0357686452957147,0.1404437254341732,5,S10,S09,16.658536581302794
0.0,0.0,0.0,0.9999999999998778,0,0,132,81788,132,0,19,test,S10-B-1,cold,0.75,0.5,0,1.7807087898254397,0.0460797471873628,0.2175321887313075,0.9923203762454548,0.9475982642905372,2.0357686452957147,0.1404437254341732,5,S10,S09,0.0
0.0,0.0,0.0,0.9999999999998768,0,0,723,81197,723,0,19,test,S10-B-3,cold,0.75,0.5,0,1.884003639221192,0.0460797471873628,0.2175321887313075,0.9923203762454548,0.9475982642905372,2.0357686452957147,0.1404437254341732,5,S10,S09,0.0
0.0,0.0,0.0,0.9999999999998772,0,0,500,81420,500,0,19,test,S10-B-2,cold,0.75,0.5,0,1.7676602602005005,0.0460797471873628,0.2175321887313075,0.9923203762454548,0.9475982642905372,2.0357686452957147,0.1404437254341732,5,S10,S09,0.0
0.0,0.0,0.0,0.999999999999878,0,0,54,81866,54,0,64,test,S09-A-2,cold,0.75,0.55,50,1.2847379446029663,0.2305845093094019,0.6654424939206982,0.984723173895376,0.9781781691555836,3.555578641098875,0.3540486854772978,4,S09,S08,0.0
0.0,0.0,0.0,0.9999999999998778,0,0,141,81779,141,0,64,test,S09-A-1,cold,0.75,0.55,50,1.2876673936843872,0.2305845093094019,0.6654424939206982,0.984723173895376,0.9781781691555836,3.555578641098875,0.3540486854772978,4,S09,S08,0.0
0.0,0.0,0.0,0.9980419511955114,0,160,206,81554,206,160,64,test,S09-B-2,cold,0.75,0.55,50,1.2749767303466797,0.2305845093094019,0.6654424939206982,0.984723173895376,0.9781781691555836,3.555578641098875,0.3540486854772978,4,S09,S08,0.7766990290885097
0.0,0.0,0.0,0.9999999999998777,0,0,227,81693,227,0,64,test,S09-B-3,cold,0.75,0.55,50,1.2624623775482178,0.2305845093094019,0.6654424939206982,0.984723173895376,0.9781781691555836,3.555578641098875,0.3540486854772978,4,S09,S08,0.0
0.0,0.0,0.0,0.9999999999998777,0,0,180,81740,180,0,64,test,S09-B-1,cold,0.75,0.55,50,1.2601386308670044,0.2305845093094019,0.6654424939206982,0.984723173895376,0.9781781691555836,3.555578641098875,0.3540486854772978,4,S09,S08,0.0
0.0,0.0,0.0,0.992197245798866,0,638,154,81128,154,638,19,test,S10-D-1,cold,0.75,0.5,0,1.597381830215454,0.0460797471873628,0.2175321887313075,0.9923203762454548,0.9475982642905372,2.0357686452957147,0.1404437254341732,5,S10,S09,4.1428571425881255
0.0,0.0,0.0,0.9991648243673544,0,68,500,81352,500,68,64,test,S09-C-1,cold,0.75,0.55,50,1.2859055995941162,0.2305845093094019,0.6654424939206982,0.984723173895376,0.9781781691555836,3.555578641098875,0.3540486854772978,4,S09,S08,0.13599999999728
0.0,0.0,0.0,0.9999999999998772,0,0,415,81505,415,0,64,test,S09-C-2,cold,0.75,0.55,50,1.303070068359375,0.2305845093094019,0.6654424939206982,0.984723173895376,0.9781781691555836,3.555578641098875,0.3540486854772978,4,S09,S08,0.0
0.0,0.0,0.0,0.9999999999998768,0,0,691,81229,691,0,64,test,S09-C-3,cold,0.75,0.55,50,1.2585514783859253,0.2305845093094019,0.6654424939206982,0.984723173895376,0.9781781691555836,3.555578641098875,0.3540486854772978,4,S09,S08,0.0
0.0,0.0,0.0,0.9999999999998777,0,0,269,81651,269,0,64,test,S09-D-1,cold,0.75,0.55,50,1.262556552886963,0.2305845093094019,0.6654424939206982,0.984723173895376,0.9781781691555836,3.555578641098875,0.3540486854772978,4,S09,S08,0.0
0.0,0.0,0.0,0.9999999999998772,0,0,426,81494,426,0,64,test,S09-D-2,cold,0.75,0.55,50,1.3237648010253906,0.2305845093094019,0.6654424939206982,0.984723173895376,0.9781781691555836,3.555578641098875,0.3540486854772978,4,S09,S08,0.0
0.0,0.0,0.0,0.9999999999998778,0,0,165,81755,165,0,64,test,S09-A-3,cold,0.75,0.55,50,1.2761141061782837,0.2305845093094019,0.6654424939206982,0.984723173895376,0.9781781691555836,3.555578641098875,0.3540486854772978,4,S09,S08,0.0
0.0,0.0,0.0,0.999999999999876,0,0,1309,80611,1309,0,49,test,S11-D-2,cold,0.5,0.8,0,1.5371575355529783,0.066980250120166,0.3987612224867325,0.9891838708200796,0.957528308484936,3.585640695289673,0.1219247817828936,6,S11,S10,0.0
0.0,0.0,0.0,0.999999999999876,0,0,1369,80551,1369,0,49,test,S11-D-3,cold,0.5,0.8,0,1.8125077486038208,0.066980250120166,0.3987612224867325,0.9891838708200796,0.957528308484936,3.585640695289673,0.1219247817828936,6,S11,S10,0.0
0.0,0.0,0.0,0.999999999999876,0,0,1311,80609,1311,0,49,test,S11-C-2,cold,0.5,0.8,0,1.505947470664978,0.066980250120166,0.3987612224867325,0.9891838708200796,0.957528308484936,3.585640695289673,0.1219247817828936,6,S11,S10,0.0
0.0,0.0,0.0,0.9999999999998762,0,0,1144,80776,1144,0,49,test,S11-C-3,cold,0.5,0.8,0,1.4870080947875977,0.066980250120166,0.3987612224867325,0.9891838708200796,0.957528308484936,3.585640695289673,0.1219247817828936,6,S11,S10,0.0
0.0,0.0,0.0,0.9999999999998772,0,0,527,81393,527,0,49,test,S11-D-1,cold,0.5,0.8,0,1.3950145244598389,0.066980250120166,0.3987612224867325,0.9891838708200796,0.957528308484936,3.585640695289673,0.1219247817828936,6,S11,S10,0.0
0.0,0.0,0.0,0.9999999999998772,0,0,545,81375,545,0,49,test,S11-B-3,cold,0.5,0.8,0,1.911494731903076,0.066980250120166,0.3987612224867325,0.9891838708200796,0.957528308484936,3.585640695289673,0.1219247817828936,6,S11,S10,0.0
0.0,0.0,0.0,0.9999999999998724,0,0,3542,78378,3542,0,49,test,S11-B-1,cold,0.5,0.8,0,2.599756956100464,0.066980250120166,0.3987612224867325,0.9891838708200796,0.957528308484936,3.585640695289673,0.1219247817828936,6,S11,S10,0.0
0.0,0.0,0.0,0.9999999999998772,0,0,501,81419,501,0,49,test,S11-B-2,cold,0.5,0.8,0,1.8638420104980469,0.066980250120166,0.3987612224867325,0.9891838708200796,0.957528308484936,3.585640695289673,0.1219247817828936,6,S11,S10,0.0
0.0,0.0,0.0,0.9999999999998708,0,0,4483,77437,4483,0,49,test,S11-A-1,cold,0.5,0.8,0,2.8679702281951904,0.066980250120166,0.3987612224867325,0.9891838708200796,0.957528308484936,3.585640695289673,0.1219247817828936,6,S11,S10,0.0
