subject,image_i,image_j,doctor_i,doctor_j,try_i,try_j,same_doctor,same_try,dice,iou,pixels_i,pixels_j,doctor_pair,try_pair
S06,S06-A-3.bmp,S06-B-1.bmp,A,B,3,1,False,False,0.18867925,0.10416666738448183,982,396,A-B,1-3
S06,S06-A-3.bmp,S06-B-2.bmp,A,B,3,2,False,False,0.4033426,0.2526168881698416,982,813,A-B,2-3
S06,S06-A-3.bmp,S06-B-3.bmp,A,B,3,3,False,True,0.36941302,0.22655218016740278,982,875,A-B,3-3
S06,S06-A-3.bmp,S06-C-1.bmp,A,C,3,1,False,False,0.15659575,0.08494921598804318,982,193,A-C,1-3
S06,S06-A-3.bmp,S06-C-2.bmp,A,C,3,2,False,False,0.13261372,0.07101569027992097,982,315,A-C,2-3
S06,S06-A-3.bmp,S06-C-3.bmp,A,C,3,3,False,True,0.13971147,0.07510204157134526,982,335,A-C,3-3
S06,S06-A-3.bmp,S06-D-1.bmp,A,D,3,1,False,False,6.793478e-10,6.79347825625443e-10,982,490,A-D,1-3
S06,S06-A-3.bmp,S06-D-3.bmp,A,D,3,3,False,True,6.830601e-10,6.830601088230463e-10,982,482,A-D,3-3
S06,S06-B-1.bmp,S06-B-2.bmp,B,B,1,2,True,False,0.38709676,0.2400000007794872,396,813,B-B,1-2
S06,S06-B-1.bmp,S06-B-3.bmp,B,B,1,3,True,False,0.2848151,0.16605504663664672,396,875,B-B,1-3
S06,S06-B-1.bmp,S06-C-1.bmp,B,C,1,1,False,True,0.054329373,0.02792321286575356,396,193,B-C,1-1
S06,S06-B-1.bmp,S06-C-2.bmp,B,C,1,2,False,False,0.24472573,0.1394230783022066,396,315,B-C,1-2
S06,S06-B-1.bmp,S06-C-3.bmp,B,C,1,3,False,False,0.1751026,0.09595202534340026,396,335,B-C,1-3
S06,S06-B-1.bmp,S06-D-1.bmp,B,D,1,1,False,True,1.1286682e-09,1.1286681702836701e-09,396,490,B-D,1-1
S06,S06-B-1.bmp,S06-D-3.bmp,B,D,1,3,False,False,1.1389522e-09,1.1389521627118996e-09,396,482,B-D,1-3
S06,S06-B-2.bmp,S06-B-3.bmp,B,B,2,3,True,False,0.8779621,0.7824709611589535,813,875,B-B,2-3
S06,S06-B-2.bmp,S06-C-1.bmp,B,C,2,1,False,False,0.3836978,0.237392374861756,813,193,B-C,1-2
S06,S06-B-2.bmp,S06-C-2.bmp,B,C,2,2,False,True,0.53723407,0.3672727280396694,813,315,B-C,2-2
S06,S06-B-2.bmp,S06-C-3.bmp,B,C,2,3,False,False,0.5017422,0.33488372170362357,813,335,B-C,2-3
S06,S06-B-2.bmp,S06-D-1.bmp,B,D,2,1,False,False,7.674597e-10,7.674597077763163e-10,813,490,B-D,1-2
S06,S06-B-2.bmp,S06-D-3.bmp,B,D,2,3,False,False,7.7220075e-10,7.722007716044781e-10,813,482,B-D,2-3
S06,S06-B-3.bmp,S06-C-1.bmp,B,C,3,1,False,False,0.36142322,0.22057142946220407,875,193,B-C,1-3
S06,S06-B-3.bmp,S06-C-2.bmp,B,C,3,2,False,False,0.4907563,0.32516703861339974,875,315,B-C,2-3
S06,S06-B-3.bmp,S06-C-3.bmp,B,C,3,3,False,True,0.4876033,0.3224043723252411,875,335,B-C,3-3
S06,S06-B-3.bmp,S06-D-1.bmp,B,D,3,1,False,False,7.3260076e-10,7.326007320640287e-10,875,490,B-D,1-3
S06,S06-B-3.bmp,S06-D-3.bmp,B,D,3,3,False,True,7.369197e-10,7.36919675212292e-10,875,482,B-D,3-3
S06,S06-C-1.bmp,S06-C-2.bmp,C,C,1,2,True,False,0.6732283,0.5074183990877792,193,315,C-C,1-2
S06,S06-C-1.bmp,S06-C-3.bmp,C,C,1,3,True,False,0.6666667,0.5000000014204545,193,335,C-C,1-3
S06,S06-C-1.bmp,S06-D-1.bmp,C,D,1,1,False,True,1.4641288e-09,1.4641288411945404e-09,193,490,C-D,1-1
S06,S06-C-1.bmp,S06-D-3.bmp,C,D,1,3,False,False,1.4814815e-09,1.481481479286694e-09,193,482,C-D,1-3
S06,S06-C-2.bmp,S06-C-3.bmp,C,C,2,3,True,False,0.84615386,0.7333333340444445,315,335,C-C,2-3
S06,S06-C-2.bmp,S06-D-1.bmp,C,D,2,1,False,False,1.242236e-09,1.2422360233015701e-09,315,490,C-D,1-2
S06,S06-C-2.bmp,S06-D-3.bmp,C,D,2,3,False,False,1.2547051e-09,1.2547051427168064e-09,315,482,C-D,2-3
S06,S06-C-3.bmp,S06-D-1.bmp,C,D,3,1,False,False,1.2121212e-09,1.2121212106519742e-09,335,490,C-D,1-3
S06,S06-C-3.bmp,S06-D-3.bmp,C,D,3,3,False,True,1.2239902e-09,1.2239902065801832e-09,335,482,C-D,3-3
S06,S06-D-1.bmp,S06-D-3.bmp,D,D,1,3,True,False,1.0288066e-09,1.0288065833036969e-09,490,482,D-D,1-3
S07,S07-A-1.bmp,S07-A-2.bmp,A,A,1,2,True,False,0.6758621,0.5104166668166616,1894,3036,A-A,1-2
S07,S07-A-1.bmp,S07-A-3.bmp,A,A,1,3,True,False,0.42337453,0.26853208331841016,1894,6765,A-A,1-3
S07,S07-A-1.bmp,S07-B-1.bmp,A,B,1,1,False,True,0.0034071554,0.001706485067531363,1894,454,A-B,1-1
S07,S07-A-1.bmp,S07-B-2.bmp,A,B,1,2,False,False,0.10142631,0.05342237101276195,1894,630,A-B,1-2
S07,S07-A-1.bmp,S07-B-3.bmp,A,B,1,3,False,False,0.2732644,0.1582549190939885,1894,814,A-B,1-3
S07,S07-A-1.bmp,S07-C-1.bmp,A,C,1,1,False,True,0.20705882,0.1154855646361134,1894,1081,A-C,1-1
S07,S07-A-1.bmp,S07-C-2.bmp,A,C,1,2,False,False,0.14739802,0.07956270905570523,1894,1661,A-C,1-2
S07,S07-A-1.bmp,S07-C-3.bmp,A,C,1,3,False,False,0.3606383,0.21998702166775244,1894,1866,A-C,1-3
S07,S07-A-1.bmp,S07-D-1.bmp,A,D,1,1,False,True,0.13939981,0.07492195677683561,1894,172,A-D,1-1
S07,S07-A-1.bmp,S07-D-2.bmp,A,D,1,2,False,False,4.930966e-10,4.930966466996564e-10,1894,134,A-D,1-2
S07,S07-A-1.bmp,S07-D-3.bmp,A,D,1,3,False,False,5.022602e-10,5.022601705161928e-10,1894,97,A-D,1-3
S07,S07-A-2.bmp,S07-A-3.bmp,A,A,2,3,True,False,0.45525968,0.2947159842411207,3036,6765,A-A,2-3
S07,S07-A-2.bmp,S07-B-1.bmp,A,B,2,1,False,False,2.8653296e-10,2.8653295120729714e-10,3036,454,A-B,1-2
S07,S07-A-2.bmp,S07-B-2.bmp,A,B,2,2,False,True,0.05237316,0.02689075657510063,3036,630,A-B,2-2
S07,S07-A-2.bmp,S07-B-3.bmp,A,B,2,3,False,False,0.18025973,0.0990579505854816,3036,814,A-B,2-3
S07,S07-A-2.bmp,S07-C-1.bmp,A,C,2,1,False,False,0.4765606,0.31281887777014705,3036,1081,A-C,1-2
