method,try,dice,iou
stage1_full_pred,1,0.19112711446359754,0.11895938462112099
stage1_full_pred,2,0.2565665469882471,0.16216493224775616
stage1_full_pred,3,0.24944408343913235,0.16734096839832344
stage2_gt_crop_oracle,1,0.3178671761415899,0.21439290489070117
stage2_gt_crop_oracle,2,0.18220185133234457,0.1056199578435798
stage2_gt_crop_oracle,3,0.32451906819109566,0.207581941226765
stage2_predicted_crop,1,0.32777058337745646,0.22184916590270978
stage2_predicted_crop,2,0.15952215529978275,0.08871968905441463
stage2_predicted_crop,3,0.32376845199183363,0.20699077862814802
