image_path,image_name,subject_id,image_hash,duplicate_group_size,is_duplicate_image_content
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S08-B-2.bmp,S08-B-2.bmp,S08,9ef7f9ddb7872d8dcdd20922303b11b1,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S08-B-3.bmp,S08-B-3.bmp,S08,7702f60254a318c56a03d634bdb39497,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S08-C-1.bmp,S08-C-1.bmp,S08,84ba0cb253332fbbd9939601c78cf7e8,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S08-C-2.bmp,S08-C-2.bmp,S08,487065c7eeadf1a755f567d4da49c366,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S08-C-3.bmp,S08-C-3.bmp,S08,5cf94c73da4fc493854f9292e1068769,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S08-D-1.bmp,S08-D-1.bmp,S08,c2eda1422f47ab226d74a41d7bdb3395,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S08-D-2.bmp,S08-D-2.bmp,S08,2f0260eadd01e005b468c1ecdfcca4ed,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S08-D-3.bmp,S08-D-3.bmp,S08,d589b240e3478dba3fd80e190d47c748,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S09-A-1.bmp,S09-A-1.bmp,S09,ba4dc1ab485b6acf2bb92d161a9e79f7,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S09-A-2.bmp,S09-A-2.bmp,S09,c915d5f75fe78a94893f6c08f3c6813d,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S09-A-3.bmp,S09-A-3.bmp,S09,58350d681689ac3d4a0a490320eeede5,1,False
/media/data/rPPG/rPPG_Data/SHARE/PixelLabelData/FIR_input/S09-B-1.bmp,S09-B-1.bmp,S09,b37361eef4cd67b9ad3fbb72f9259466,1,False
